cas_rn,substance_name,subclass
865-86-1,"1-Dodecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-",LC
70983-60-7,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-, 3-[(γ-ω-perfluoro-C6-20-alkyl)thio] derivs., chlorides",LC
68187-47-3,"1-Propanesulfonic acid, 2-methyl-, 2-[[1-oxo-3-[(γ-ω-perfluoro-C4-16-alkyl)thio]propyl]amino] derivs., sodium salts",LC
65605-58-5,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene)",LC
17741-60-5,"2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester",LC
34395-24-9,"2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl ester",LC
68391-08-2,"Alcohols, C8-14, γ-ω-perfluoro",LC
65636-35-3,"Ethanaminium, N,N-diethyl-N-methyl-2[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2propenyl)oxy]ethyl]poly (difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamide",LC
65530-64-5,"Ethanol, 2,2'-iminobis-, compd. with α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoropoly(difluoromethylene)] (1:1)",LC
65530-63-4,"Ethanol, 2,2'-iminobis-, compd. with α-fluoro-ω-[2-(phosphonooxy)ethyl]poly(difluoromethylene) (2:1)",LC
16517-11-6,"Octadecanoic acid, pentatriacontafluoro-",LC
335-76-2,Perfluorodecanoic acid,LC
307-55-1,Perfluorododecanoic acid,LC
375-95-1,Perfluorononanoic acid,LC
67905-19-5,Perfluoropalmitic acid,LC
376-06-7,Perfluorotetradecanoic acid,LC
72629-94-8,Perfluorotridecanoic acid,LC
2058-94-8,Perfluoroundecanoic acid,LC
68412-69-1,"Phosphinic acid, bis(perfluoro-C6-12-alkyl) derivs.",LC
68412-68-0,"Phosphonic acid, perfluoro-C6-12-alkyl derivs.",LC
65530-83-8,"Poly(difluoromethylene), α-[2-[(2-carboxyethyl)thio]ethyl]-ω-fluoro-",LC
65545-80-4,"Poly(oxy-1,2-ethanediyl), α-hydro-ω-hydroxy-, ether with α-fluoro-ω-(2-hydroxyethyl)poly(difluoromethylene) (1:1)",LC
3830-45-3,"Perfluorodecanoic Acid, Sodium Salt",LC
307-67-5,"Perfluorododecanoic Acid, Sodium Salt",LC
2806-15-7,Sodium perfluorodecanesulfonate,LC
98789-57-2,Perfluorononanesulfonic acid sodium salt,LC
60871-96-7,Sodium perfluoro-𝑛-undecanoate,LC
65530-70-3,"Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-, ammonium salt (1:1)",LC
65530-69-0,"Poly(difluoromethylene), α-[2-[(2-carboxyethyl)thio]ethyl]-ω-fluoro-, lithium salt (1:1)",LC
65530-72-5,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-, ammonium salt (1:2)",LC
39108-34-4,8:2 Fluorotelomer sulfonic acid,LC
24448-09-7,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-N-methyl-",PFOS
31506-32-8,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-methyl-",PFOS
4151-50-2,"1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-",PFOS
1691-99-2,"1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-",PFOS
25268-77-3,2-[[(Heptadecafluorooctyl)sulfonyl]methylamino]ethyl acrylate,PFOS
56773-42-3,"Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)",PFOS
1763-23-1,Perfluorooctane sulfonic acid,PFOS
307-35-7,Perfluorooctylsulfonyl fluoride,PFOS
29117-08-6,"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-hydroxy-",PFOS
2795-39-3,Perfluorooctane sulfonic acid potassium salt,PFOS
29081-56-9,Perfluorooctane sulfonic acid ammonium salt,PFOS
678-39-7,"1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-",PFOA
27905-45-9,"2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester",PFOA
2043-53-0,"Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-10-iodo-",PFOA
335-66-0,"Octanoyl fluoride, pentadecafluoro-",PFOA
45285-51-6,Perfluorooctanoate,PFOA
335-67-1,Perfluorooctanoic acid,PFOA
21652-58-4,Perfluorooctyl Ethylene,PFOA
65530-62-3,"Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-",PFOA
65530-61-2,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-",PFOA
70969-47-0,"Thiols, C8-20, γ-ω-perfluoro, telomers with acrylamide",PFOA
335-95-5,Perfluorooctanoic acid sodium salt,PFOA
375-73-5,"1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-",Other PFAS
375-92-8,Perfluoroheptanesulfonic acid,Other PFAS
307-24-4,"Hexanoic acid, undecafluoro-",Other PFAS
2706-90-3,"Pentanoic acid, nonafluoro-",Other PFAS
375-22-4,"Heptanoic acid, tridecafluoro-",Other PFAS
375-85-9,"Heptanoic acid, tridecafluoro-",Other PFAS
68259-12-1,Perfluorononanesulfonic acid,Other PFAS
335-77-3,Perfluorodecanesulfonic acid,Other PFAS
754-91-6,Perfluorooctanesulfonamide,Other PFAS
2355-31-9,2-(N-Methylperfluorooctanesulfonamido)acetic acid,Other PFAS
2991-50-6,2-(N-Ethylperfluorooctanesulfonamido)acetic acid,Other PFAS
757124-72-4,2-(Perfluorobutyl)-1-ethanesulfonic acid,Other PFAS
27619-97-2,"1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-",Other PFAS
13252-13-6,Hexafluoropropylene oxide dimer acid,Other PFAS
